2025-09-08 16:29:40,265 - INFO - Starting browser session with chrome...
2025-09-08 16:29:44,536 - INFO - chrome browser launched successfully.
2025-09-08 16:29:46,396 - INFO - URL opened successfully.
2025-09-08 16:29:46,398 - INFO - === ADMISSION COMPLETE FLOW TEST STARTED ===
2025-09-08 16:29:46,399 - INFO - STEP 1: Performing Login...
2025-09-08 16:29:46,399 - INFO - Starting login process for ADMISSION_FLOW
2025-09-08 16:29:46,808 - INFO - Sign Up for Free button clicked successfully.
2025-09-08 16:29:46,808 - INFO - Navigated to Sign Up page successfully.
2025-09-08 16:29:49,093 - INFO - Sign In link clicked successfully.
2025-09-08 16:29:49,094 - INFO - Navigated to Sign In page successfully.
2025-09-08 16:29:51,146 - INFO - Sign In page loaded successfully.
2025-09-08 16:29:51,696 - INFO - Email entered successfully in login form.
2025-09-08 16:29:51,697 - INFO - Email entered successfully in login form.
2025-09-08 16:29:52,058 - INFO - Password entered successfully in login form.
2025-09-08 16:29:52,058 - INFO - Password entered successfully in login form.
2025-09-08 16:29:53,170 - INFO - Log In button clicked successfully.
2025-09-08 16:29:53,170 - INFO - Log In button clicked successfully.
2025-09-08 16:29:57,252 - INFO - Login success message found: Login successful!
2025-09-08 16:29:57,351 - INFO - User authentication indicators found - login confirmed
2025-09-08 16:29:57,352 - INFO - Login completed successfully for user: john.doe.test__16@gmail.com
2025-09-08 16:29:57,352 - INFO - \u2705 Login completed successfully
2025-09-08 16:29:59,353 - INFO - STEP 2: Navigating to Admission Form...
2025-09-08 16:30:11,807 - INFO - \u2705 Successfully navigated to admission form
2025-09-08 16:30:13,808 - INFO - STEP 3: Filling Student Information Form...
2025-09-08 16:30:13,809 - INFO - Using valid student data: Verify Student Personal Information Form with Valid Data
2025-09-08 16:30:14,165 - INFO - Full Name: 'John Doe'
2025-09-08 16:30:15,148 - INFO - Gender: 'Male'
2025-09-08 16:30:15,482 - INFO - Date of Birth: '2000-05-15'
2025-09-08 16:30:16,032 - INFO - Nationality: 'Bangladeshi'
2025-09-08 16:30:17,003 - INFO - Religion: 'Islam'
2025-09-08 16:30:17,326 - INFO - Contact: '01712345678'
2025-09-08 16:30:17,764 - INFO - Email: 'john@example.com'
2025-09-08 16:30:18,072 - INFO - Present Address: 'mohakhali'
2025-09-08 16:30:21,593 - INFO - Save & Continue button clicked
2025-09-08 16:30:29,649 - INFO - \u2705 Student information saved successfully (valid data)
2025-09-08 16:30:29,664 - INFO - \U0001f511 Draft ID captured: 99
2025-09-08 16:30:29,664 - INFO - STEP 4: Filling Guardian Information Form...
2025-09-08 16:30:29,665 - INFO - Guardian data: Verify Guardian Information Form Submission with Valid Data (Required Fields Only)
2025-09-08 16:30:31,556 - INFO - Father Full Name: 'kamal'
2025-09-08 16:30:32,486 - INFO - Father Contact: '01789571651'
2025-09-08 16:30:33,402 - INFO - Father Occupation: 'Businessman'
2025-09-08 16:30:33,707 - INFO - Father NID: '1234567890'
2025-09-08 16:30:33,940 - INFO - Father Address: 'Dhaka'
2025-09-08 16:30:34,865 - INFO - Mother Full Name: 'jorina'
2025-09-08 16:30:35,195 - INFO - Mother Contact: '01789571652'
2025-09-08 16:30:35,487 - INFO - Mother Occupation: 'Housewife'
2025-09-08 16:30:35,790 - INFO - Mother NID: '1234567890'
2025-09-08 16:30:36,554 - INFO - Mother Address: 'Dhaka'
2025-09-08 16:30:37,601 - INFO - Legal Guardian: 'Father'
2025-09-08 16:30:40,996 - INFO - Save & Continue button clicked
2025-09-08 16:30:43,998 - ERROR - \u274c Error filling guardian information: 'NoneType' object has no attribute 'wait'
2025-09-08 16:30:44,772 - INFO - === ADMISSION COMPLETE FLOW TEST COMPLETED ===
2025-09-08 16:30:45,054 - INFO - Script complete.
2025-09-08 16:30:48,740 - INFO - Ending browser session...
2025-09-08 16:30:48,740 - INFO - ...................
2025-09-08 16:30:48,740 - INFO - ...................
2025-09-08 16:36:37,612 - INFO - Starting browser session with chrome...
2025-09-08 16:36:39,594 - INFO - chrome browser launched successfully.
2025-09-08 16:36:41,850 - INFO - URL opened successfully.
2025-09-08 16:36:41,872 - INFO - Script complete.
2025-09-08 16:36:44,368 - INFO - Ending browser session...
2025-09-08 16:36:44,369 - INFO - ...................
2025-09-08 16:36:44,369 - INFO - ...................
2025-09-08 16:42:01,002 - INFO - Starting browser session with chrome...
2025-09-08 16:42:03,387 - INFO - chrome browser launched successfully.
2025-09-08 16:42:04,947 - INFO - URL opened successfully.
2025-09-08 16:42:04,948 - INFO - === ADMISSION COMPLETE FLOW TEST STARTED ===
2025-09-08 16:42:04,949 - INFO - STEP 1: Performing Login...
2025-09-08 16:42:04,949 - INFO - Starting login process for ADMISSION_FLOW
2025-09-08 16:42:05,236 - INFO - Sign Up for Free button clicked successfully.
2025-09-08 16:42:05,237 - INFO - Navigated to Sign Up page successfully.
2025-09-08 16:42:08,101 - INFO - Sign In link clicked successfully.
2025-09-08 16:42:08,101 - INFO - Navigated to Sign In page successfully.
2025-09-08 16:42:10,182 - INFO - Sign In page loaded successfully.
2025-09-08 16:42:10,756 - INFO - Email entered successfully in login form.
2025-09-08 16:42:10,756 - INFO - Email entered successfully in login form.
2025-09-08 16:42:11,147 - INFO - Password entered successfully in login form.
2025-09-08 16:42:11,147 - INFO - Password entered successfully in login form.
2025-09-08 16:42:12,293 - INFO - Log In button clicked successfully.
